Years,Sexes,0,1 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 +,All ages
1984,Male,9719.0,45334.0,54756.0,48151.0,54919.0,54506.0,46605.0,40744.0,28032.0,21121.0,19411.0,16801.0,16940.0,12720.0,8645.0,5585.0,2846.0,1095.0,419.0,488349.0
1984,Female,9368.0,43692.0,52484.0,46678.0,53987.0,53953.0,45671.0,39800.0,29441.0,22264.0,19403.0,16320.0,16695.0,13301.0,9721.0,7281.0,4495.0,2670.0,1556.0,488780.0
1984,Both Sexes,19087.0,89026.0,107240.0,94829.0,108906.0,108459.0,92276.0,80544.0,57473.0,43385.0,38814.0,33121.0,33635.0,26021.0,18366.0,12866.0,7341.0,3765.0,1975.0,977129.0
1985,Male,9288.0,42804.0,56458.0,48310.0,53751.0,55607.0,47586.0,40933.0,29662.0,22329.0,19992.0,17467.0,16797.0,14138.0,8477.0,5862.0,2799.0,1217.0,423.0,493900.0
1985,Female,9027.0,40612.0,53959.0,46895.0,52013.0,54307.0,46990.0,40211.0,30401.0,23496.0,19683.0,16899.0,16411.0,14212.0,9725.0,7561.0,4527.0,2735.0,1646.0,491310.0
1985,Both Sexes,18315.0,83416.0,110417.0,95205.0,105764.0,109914.0,94576.0,81144.0,60063.0,45825.0,39675.0,34366.0,33208.0,28350.0,18202.0,13423.0,7326.0,3952.0,2069.0,985210.0
1986,Male,9047.0,39819.0,58130.0,48385.0,51624.0,56705.0,47446.0,41358.0,34267.0,22906.0,19073.0,18568.0,15917.0,15090.0,8650.0,6027.0,2899.0,1295.0,453.0,497659.0
1986,Female,8712.0,38322.0,55159.0,46862.0,49177.0,55380.0,47186.0,41309.0,34147.0,24819.0,19901.0,17591.0,15888.0,15153.0,9843.0,7604.0,4648.0,2803.0,1688.0,496192.0
1986,Both Sexes,17759.0,78141.0,113289.0,95247.0,100801.0,112085.0,94632.0,82667.0,68414.0,47725.0,38974.0,36159.0,31805.0,30243.0,18493.0,13631.0,7547.0,4098.0,2141.0,993851.0
1987,Male,9307.0,38199.0,57864.0,50743.0,49840.0,55236.0,49608.0,41710.0,36825.0,23301.0,18822.0,19312.0,15380.0,15265.0,8679.0,6391.0,2867.0,1420.0,452.0,501221.0
1987,Female,8935.0,36042.0,56407.0,47483.0,47281.0,54705.0,49508.0,43385.0,35627.0,25899.0,19660.0,19089.0,15480.0,15306.0,10682.0,8025.0,4533.0,2778.0,1748.0,502573.0
1987,Both Sexes,18242.0,74241.0,114271.0,98226.0,97121.0,109941.0,99116.0,85095.0,72452.0,49200.0,38482.0,38401.0,30860.0,30571.0,19361.0,14416.0,7400.0,4198.0,2200.0,1003794.0
1988,Male,9680.0,36886.0,56608.0,53226.0,47556.0,54389.0,52081.0,42977.0,37549.0,25382.0,19182.0,19509.0,15620.0,15235.0,9208.0,6843.0,2838.0,1387.0,554.0,506710.0
1988,Female,9535.0,35580.0,54623.0,50520.0,46186.0,52974.0,50703.0,44284.0,38188.0,26977.0,20966.0,19853.0,15479.0,15075.0,11337.0,7988.0,5020.0,2666.0,1932.0,509886.0
1988,Both Sexes,19215.0,72466.0,111231.0,103746.0,93742.0,107363.0,102784.0,87261.0,75737.0,52359.0,40148.0,39362.0,31099.0,30310.0,20545.0,14831.0,7858.0,4053.0,2486.0,1016596.0
1989,Male,10420.0,37439.0,54748.0,54829.0,47470.0,52850.0,52870.0,44012.0,37277.0,26307.0,20646.0,19201.0,15704.0,15304.0,9971.0,6498.0,3290.0,1260.0,531.0,510627.0
1989,Female,10021.0,36103.0,52299.0,52299.0,46417.0,51462.0,51580.0,44906.0,39286.0,27741.0,22837.0,20126.0,15502.0,15254.0,12297.0,7816.0,5640.0,2558.0,2042.0,516186.0
1989,Both Sexes,20441.0,73542.0,107047.0,107128.0,93887.0,104312.0,104450.0,88918.0,76563.0,54048.0,43483.0,39327.0,31206.0,30558.0,22268.0,14314.0,8930.0,3818.0,2573.0,1026813.0
1990,Male,10323.0,37693.0,50160.0,54711.0,47234.0,50787.0,52454.0,46606.0,40439.0,29459.0,21220.0,17893.0,15220.0,14427.0,11063.0,6307.0,3815.0,1514.0,680.0,512005.0
1990,Female,10022.0,36499.0,48662.0,53687.0,45986.0,48698.0,50580.0,44804.0,39145.0,29691.0,22104.0,18976.0,16017.0,15748.0,12699.0,8041.0,5925.0,3110.0,2172.0,512566.0
1990,Both Sexes,20345.0,74192.0,98822.0,108398.0,93220.0,99485.0,103034.0,91410.0,79584.0,59150.0,43324.0,36869.0,31237.0,30175.0,23762.0,14348.0,9740.0,4624.0,2852.0,1024571.0
1991,Male,10803.0,38867.0,47765.0,56060.0,47651.0,48506.0,53381.0,47001.0,40782.0,33007.0,21847.0,17806.0,15572.0,13510.0,11796.0,6510.0,3923.0,1662.0,746.0,517195.0
1991,Female,10432.0,37807.0,46277.0,54686.0,46821.0,46453.0,51790.0,45251.0,39539.0,32642.0,23142.0,18766.0,16606.0,15067.0,13465.0,8417.0,5905.0,3265.0,2281.0,518612.0
1991,Both Sexes,21235.0,76674.0,94042.0,110746.0,94472.0,94959.0,105171.0,92252.0,80321.0,65649.0,44989.0,36572.0,32178.0,28577.0,25261.0,14927.0,9828.0,4927.0,3027.0,1035807.0
1992,Male,11218.0,40633.0,46263.0,56101.0,49176.0,47615.0,53424.0,47991.0,42406.0,35160.0,23265.0,17868.0,16235.0,12878.0,12094.0,6786.0,4128.0,1723.0,787.0,525751.0
1992,Female,10624.0,39419.0,44504.0,54796.0,47788.0,45362.0,50648.0,46179.0,40715.0,34629.0,24256.0,18941.0,17376.0,14464.0,13951.0,8784.0,6116.0,3304.0,2360.0,524216.0
1992,Both Sexes,21842.0,80052.0,90767.0,110897.0,96964.0,92977.0,104072.0,94170.0,83121.0,69789.0,47521.0,36809.0,33611.0,27342.0,26045.0,15570.0,10244.0,5027.0,3147.0,1049967.0
1993,Male,10817.0,42242.0,46118.0,54662.0,51502.0,45964.0,52950.0,49501.0,43002.0,37226.0,25353.0,17811.0,16444.0,12732.0,12315.0,7151.0,4251.0,1729.0,829.0,532599.0
1993,Female,10747.0,40669.0,44221.0,53415.0,50180.0,43293.0,50043.0,47019.0,41131.0,36422.0,26317.0,18867.0,17840.0,14399.0,14340.0,9141.0,6312.0,3351.0,2504.0,530211.0
1993,Both Sexes,21564.0,82911.0,90339.0,108077.0,101682.0,89257.0,102993.0,96520.0,84133.0,73648.0,51670.0,36678.0,34284.0,27131.0,26655.0,16292.0,10563.0,5080.0,3333.0,1062810.0
1994,Male,10392.0,43051.0,46720.0,52823.0,52821.0,46718.0,51404.0,51237.0,44167.0,38840.0,26467.0,19046.0,16060.0,13059.0,12111.0,7787.0,4169.0,2002.0,841.0,539715.0
1994,Female,10255.0,41631.0,44991.0,51324.0,51675.0,44450.0,48469.0,48573.0,42379.0,37789.0,27536.0,20173.0,17773.0,14666.0,14301.0,9870.0,6193.0,3676.0,2507.0,538231.0
1994,Both Sexes,20647.0,84682.0,91711.0,104147.0,104496.0,91168.0,99873.0,99810.0,86546.0,76629.0,54003.0,39219.0,33833.0,27725.0,26412.0,17657.0,10362.0,5678.0,3348.0,1077946.0
1995,Male,10290.0,43072.0,47800.0,49984.0,54434.0,46551.0,50044.0,51661.0,45687.0,39345.0,28333.0,19960.0,16382.0,13282.0,11810.0,8385.0,4220.0,2078.0,867.0,544185.0
1995,Female,10175.0,41825.0,46144.0,48326.0,53218.0,44664.0,46831.0,48939.0,43712.0,38310.0,29025.0,21430.0,18137.0,14864.0,14111.0,10722.0,6261.0,3911.0,2553.0,543158.0
1995,Both Sexes,20465.0,84897.0,93944.0,98310.0,107652.0,91215.0,96875.0,100600.0,89399.0,77655.0,57358.0,41390.0,34519.0,28146.0,25921.0,19107.0,10481.0,5989.0,3420.0,1087343.0
1996,Male,9755.0,42543.0,49547.0,47710.0,55906.0,47112.0,47939.0,52845.0,46257.0,39792.0,31869.0,20644.0,16373.0,13686.0,11148.0,9036.0,4353.0,2219.0,937.0,549671.0
1996,Female,9567.0,41594.0,47904.0,45997.0,54315.0,45742.0,44729.0,50192.0,44156.0,38711.0,31953.0,22447.0,17952.0,15453.0,13602.0,11431.0,6620.0,3949.0,2683.0,548997.0
1996,Both Sexes,19322.0,84137.0,97451.0,93707.0,110221.0,92854.0,92668.0,103037.0,90413.0,78503.0,63822.0,43091.0,34325.0,29139.0,24750.0,20467.0,10973.0,6168.0,3620.0,1098668.0
1997,Male,9643.0,41121.0,51713.0,46187.0,55944.0,48940.0,47172.0,52848.0,47183.0,41362.0,33913.0,21988.0,16405.0,14274.0,10671.0,9212.0,4546.0,2343.0,963.0,556428.0
1997,Female,9567.0,40608.0,49820.0,44349.0,54597.0,47224.0,44388.0,49654.0,45432.0,40087.0,33978.0,23585.0,18152.0,16187.0,13010.0,11932.0,6857.0,4115.0,2666.0,556208.0
1997,Both Sexes,19210.0,81729.0,101533.0,90536.0,110541.0,96164.0,91560.0,102502.0,92615.0,81449.0,67891.0,45573.0,34557.0,30461.0,23681.0,21144.0,11403.0,6458.0,3629.0,1112636.0
1998,Male,9640.0,39957.0,52949.0,46054.0,54506.0,51343.0,45714.0,52493.0,48734.0,41987.0,35959.0,23978.0,16307.0,14441.0,10598.0,9358.0,4785.0,2402.0,961.0,562166.0
1998,Female,9292.0,39434.0,51269.0,44116.0,53246.0,49797.0,42749.0,49474.0,46556.0,40632.0,35857.0,25655.0,18097.0,16698.0,12938.0,12368.0,7163.0,4344.0,2657.0,562342.0
1998,Both Sexes,18932.0,79391.0,104218.0,90170.0,107752.0,101140.0,88463.0,101967.0,95290.0,82619.0,71816.0,49633.0,34404.0,31139.0,23536.0,21726.0,11948.0,6746.0,3618.0,1124508.0
1999,Male,9580.0,39252.0,53328.0,46671.0,52693.0,52885.0,46783.0,51048.0,50492.0,43160.0,37521.0,25134.0,17478.0,14116.0,10918.0,9259.0,5293.0,2348.0,1092.0,569051.0
1999,Female,9107.0,38556.0,51731.0,44908.0,51258.0,51610.0,44175.0,48049.0,48119.0,41914.0,37211.0,26858.0,19376.0,16637.0,13214.0,12374.0,7789.0,4229.0,2803.0,569918.0
1999,Both Sexes,18687.0,77808.0,105059.0,91579.0,103951.0,104495.0,90958.0,99097.0,98611.0,85074.0,74732.0,51992.0,36854.0,30753.0,24132.0,21633.0,13082.0,6577.0,3895.0,1138969.0
2000,Male,9719.0,38520.0,53314.0,47441.0,49451.0,53328.0,45393.0,48743.0,50507.0,44742.0,38343.0,27170.0,18624.0,14809.0,11405.0,9268.0,5905.0,2506.0,1324.0,570512.0
2000,Female,9290.0,37492.0,51945.0,46416.0,48132.0,53999.0,45662.0,48313.0,49157.0,43573.0,38074.0,28560.0,20650.0,17250.0,13604.0,11956.0,8682.0,4417.0,3410.0,580582.0
