"Table 1 - Gross Domestic Product by Industrial Origin at current factor cost, 1948 - 1975",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, ,,,,,,,,,,,(Rs Million),
,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975
"Agriculture, forestry, hunting and fishing ",      ...,      ...,129,145,156,177,170,179,200,200,188,200,128,182,174,296,180,209,199,214,203,235,222,262,353,494,"1,323","1,034"
Mining and quarrying,      ...,      ...,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4
Manufacturing,      ...,      ...,95,109,122,108,106,109,120,115,102,114,75,111,115,176,119,133,125,134,128,147,146,168,233,277,505,564
Construction,      ...,      ...,17,20,23,27,27,26,26,29,30,32,65,52,52,49,53,55,52,59,49,46,48,60,73,114,155,217
"Electricity, gas, water and sanitary services",      ...,      ...,5,7,10,7,7,8,8,8,9,12,12,14,17,21,22,23,22,30,30,30,29,34,39,43,49,69
"Transportation, storage and communication",      ...,      ...,46,56,62,54,58,60,61,68,68,72,71,78,84,92,95,102,99,100,102,105,108,114,129,161,195,281
Wholesale and retail trade,      ...,      ...,42,48,56,64,57,63,62,68,71,67,67,72,72,81,86,87,84,89,92,91,91,94,127,172,221,279
"Banking, insurance & real estate",      ...,      ...,4,5,6,7,7,7,9,9,10,10,11,12,12,14,16,16,16,17,16,18,20,18,22,31,44,66
Ownership of dwellings,      ...,      ...,34,34,36,40,42,44,46,48,49,50,44,52,55,57,59,61,63,65,66,68,70,71,74,77,83,94
Public administration and defence,      ...,      ...,9,11,14,17,18,20,21,22,25,28,28,30,32,34,38,42,45,43,44,46,51,53,61,76,105,140
Services,      ...,      ...,34,38,44,43,44,46,50,55,61,65,70,75,80,85,91,94,99,104,110,116,126,141,166,203,259,342
Gross Domestic Product at factor cost ,305,350,415,473,529,545,537,563,604,623,614,651,572,679,694,906,760,823,805,856,841,903,912,"1,016","1,279","1,650","2,941","3,090"
Indirect taxes (net of subsidies),      ...,      ...,30,36,43,49,53,55,57,60,64,72,81,93,101,114,122,118,123,131,141,150,155,169,167,197,275,326
Gross Domestic Product at market prices,      ...,      ...,445,509,572,594,590,618,661,683,678,723,653,772,795,"1,020",882,941,928,987,982,"1,053","1,067","1,185","1,446","1,847","3,216","3,416"
Net factor income from rest of the world,      ...,      ...,10,9,7,6,10,8,            -,            -,            -,2,4,-5,-4,-6,-2,-6,-1,-5,-3,1,7,7,2,16,10,16
Gross National Product at market prices ,      ...,      ...,455,518,579,600,600,626,661,683,678,725,657,767,791,"1,014",880,935,927,982,979,"1,054","1,074","1,192","1,448","1,863","3,226","3,432"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
...  Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
