Years,Enrolment_Total,Enrolment_Male,Enrolment_Female,Pop_Total,Pop_Male,Pop_Female,Ratio_Total,Ratio_Male,Ratio_Female
1972,151614.0,77401.0,74213.0,142800.0,72239.0,70561.0,106.0,107.0,105.0
1973,150656.0,76812.0,73844.0,142695.0,72107.0,70588.0,106.0,107.0,105.0
1974,148142.0,75546.0,72596.0,139965.0,70663.0,69302.0,106.0,107.0,105.0
1975,145475.0,74220.0,71255.0,135568.0,68351.0,67217.0,107.0,109.0,106.0
1976,139439.0,71077.0,68362.0,131453.0,66368.0,65085.0,106.0,107.0,105.0
1977,136019.0,69425.0,66594.0,126492.0,63838.0,62654.0,108.0,109.0,106.0
1978,133432.0,68456.0,64976.0,120768.0,60828.0,59940.0,110.0,113.0,108.0
1979,125165.0,63931.0,61234.0,116539.0,58582.0,57957.0,107.0,109.0,106.0
1980,123710.0,63203.0,60507.0,114400.0,57328.0,57072.0,108.0,110.0,106.0
1981,130145.0,66045.0,64100.0,115372.0,57873.0,57499.0,113.0,114.0,111.0
1982,131594.0,66787.0,64807.0,114521.0,57541.0,56980.0,115.0,116.0,114.0
1983,133255.0,67509.0,65746.0,118192.0,59511.0,58681.0,113.0,113.0,112.0
1984,129744.0,65574.0,64170.0,121486.0,62007.0,59479.0,107.0,106.0,108.0
1985,135012.0,68367.0,66645.0,127009.0,64746.0,62263.0,106.0,106.0,107.0
1986,138765.0,70342.0,68423.0,130044.0,66720.0,63324.0,107.0,105.0,108.0
1987,137935.0,69824.0,68111.0,133219.0,67871.0,65348.0,104.0,103.0,104.0
1988,134136.0,67988.0,66148.0,135744.0,69105.0,66639.0,99.0,98.0,99.0
1989,131626.0,66698.0,64928.0,133694.0,68428.0,65266.0,98.0,97.0,99.0
1990,131203.0,66431.0,64772.0,126962.0,64210.0,62752.0,103.0,103.0,103.0
1991,129154.0,65468.0,63686.0,122234.0,61981.0,60253.0,106.0,106.0,106.0
1992,123931.0,62757.0,61174.0,116056.0,58962.0,57094.0,107.0,106.0,107.0
1993,120002.0,60758.0,59244.0,111577.0,56810.0,54767.0,108.0,107.0,108.0
1994,117919.0,59769.0,58150.0,109503.0,55794.0,53709.0,108.0,107.0,108.0
1995,117795.0,59710.0,58085.0,109833.0,56001.0,53832.0,107.0,107.0,108.0
1996,119655.0,60693.0,58962.0,111725.0,56918.0,54807.0,107.0,107.0,108.0
1997,122312.0,61953.0,60359.0,115012.0,58547.0,56465.0,106.0,106.0,107.0
1998,125681.0,63601.0,62080.0,119175.0,60726.0,58449.0,105.0,105.0,106.0
1999,128745.0,65156.0,63589.0,123049.0,62506.0,60543.0,105.0,104.0,105.0
2000,130464.0,66303.0,64161.0,124952.0,63414.0,61538.0,104.0,105.0,104.0
2001,129350.0,65655.0,63695.0,122741.0,62037.0,60704.0,105.0,106.0,105.0
2002,127785.0,64766.0,63019.0,122475.0,61782.0,60693.0,104.0,105.0,104.0
2003,124933.0,63320.0,61613.0,121411.0,61346.0,60065.0,103.0,103.0,103.0
2004,121526.0,61666.0,59860.0,119975.0,60716.0,59259.0,101.0,102.0,101.0
2005,118737.0,60335.0,58402.0,118463.0,60059.0,58404.0,100.0,100.0,100.0
2006,116513.0,59229.0,57284.0,117372.0,59557.0,57815.0,99.0,99.0,99.0
2007,114404.0,58137.0,56267.0,115496.0,58582.0,56914.0,99.0,99.0,99.0
2008,114007.0,58128.0,55879.0,114266.0,57953.0,56313.0,100.0,100.0,99.0
2009,112884.0,57369.0,55515.0,113168.0,57465.0,55703.0,100.0,100.0,100.0
2010,112309.0,57068.0,55241.0,111782.0,56763.0,55019.0,100.0,101.0,100.0
2011,110907.0,56263.0,54644.0,111143.0,56467.0,54676.0,100.0,100.0,100.0
2012,108519.0,55147.0,53372.0,109335.0,55596.0,53739.0,99.0,99.0,99.0
2013,103641.0,52389.0,51252.0,106199.0,54069.0,52130.0,98.0,97.0,98.0
2014,100221.0,50601.0,49620.0,103264.0,52527.0,50737.0,97.0,96.0,98.0
2015,96365.0,48708.0,47657.0,99411.0,50542.0,48869.0,97.0,96.0,98.0
2016,92529.0,46722.0,45807.0,95689.0,48526.0,47163.0,97.0,96.0,97.0
2017,88370.0,44618.0,43752.0,91730.0,46531.0,45199.0,96.0,96.0,97.0
