Years,Enrolment_Total,Enrolment_Male,Enrolment_Female,Pop_Total,Pop_Male,Pop_Female,Ratio_Total,Ratio_Male,Ratio_Female
1972,52030.0,30551.0,21479.0,165855.0,83038.0,82817.0,31.0,37.0,26.0
1973,55619.0,31929.0,23690.0,166604.0,83612.0,82992.0,33.0,38.0,29.0
1974,60116.0,33815.0,26301.0,171247.0,86099.0,85148.0,35.0,39.0,31.0
1975,63142.0,35112.0,28030.0,174930.0,88210.0,86720.0,36.0,40.0,32.0
1976,66920.0,36616.0,30304.0,178280.0,89864.0,88416.0,38.0,41.0,34.0
1977,78038.0,41905.0,36133.0,180190.0,90786.0,89404.0,43.0,46.0,40.0
1978,80479.0,42367.0,38112.0,182792.0,92070.0,90722.0,44.0,46.0,42.0
1979,81946.0,43257.0,38689.0,182550.0,91591.0,90959.0,45.0,47.0,43.0
1980,80881.0,41717.0,39164.0,181823.0,90799.0,91024.0,44.0,46.0,43.0
1981,78332.0,40993.0,37339.0,178754.0,89047.0,89707.0,44.0,46.0,42.0
1982,76308.0,40091.0,36217.0,175162.0,87362.0,87800.0,44.0,46.0,41.0
1983,75963.0,40057.0,35906.0,172630.0,87478.0,85152.0,44.0,46.0,42.0
1984,72730.0,38855.0,33875.0,166235.0,84016.0,82219.0,44.0,46.0,41.0
1985,70551.0,37149.0,33402.0,160290.0,81446.0,78844.0,44.0,46.0,42.0
1986,68604.0,36048.0,32556.0,156406.0,79648.0,76758.0,44.0,45.0,42.0
1987,69825.0,36445.0,33380.0,154914.0,79665.0,75249.0,45.0,46.0,44.0
1988,72389.0,36673.0,35716.0,153657.0,78297.0,75360.0,47.0,47.0,47.0
1989,76156.0,38428.0,37728.0,155750.0,79168.0,76582.0,49.0,49.0,49.0
1990,76440.0,38242.0,38198.0,155523.0,78720.0,76803.0,49.0,49.0,50.0
1991,79327.0,38916.0,40411.0,159433.0,80499.0,78934.0,50.0,48.0,51.0
1992,81706.0,40352.0,41354.0,164699.0,83302.0,81397.0,50.0,48.0,51.0
1993,85522.0,42032.0,43490.0,169708.0,85921.0,83787.0,50.0,49.0,52.0
1994,87177.0,42636.0,44541.0,171090.0,86584.0,84506.0,51.0,49.0,53.0
1995,88455.0,43023.0,45432.0,169152.0,85663.0,83489.0,52.0,50.0,54.0
1996,90120.0,44198.0,45922.0,168557.0,85485.0,83072.0,53.0,52.0,55.0
1997,90714.0,44198.0,46516.0,165873.0,84126.0,81747.0,55.0,53.0,57.0
1998,91240.0,44520.0,46720.0,161479.0,82005.0,79474.0,57.0,54.0,59.0
1999,91962.0,44702.0,47260.0,157007.0,79843.0,77164.0,59.0,56.0,61.0
2000,92208.0,44860.0,47348.0,151333.0,76527.0,74806.0,61.0,59.0,63.0
2001,94335.0,45789.0,48546.0,150217.0,76081.0,74136.0,63.0,60.0,65.0
2002,96329.0,46402.0,49927.0,149009.0,75602.0,73407.0,65.0,61.0,68.0
2003,100447.0,48387.0,52060.0,150035.0,76020.0,74015.0,67.0,64.0,70.0
2004,102532.0,49316.0,53216.0,151531.0,76691.0,74840.0,68.0,64.0,71.0
2005,106805.0,51363.0,55442.0,153947.0,77772.0,76175.0,69.0,66.0,73.0
2006,111027.0,53451.0,57576.0,156366.0,78996.0,77370.0,71.0,68.0,74.0
2007,112981.0,54384.0,58597.0,158474.0,80123.0,78351.0,71.0,68.0,75.0
2008,112995.0,54265.0,58730.0,159292.0,80528.0,78764.0,71.0,67.0,75.0
2009,112572.0,53696.0,58876.0,158442.0,80087.0,78355.0,71.0,67.0,75.0
2010,111418.0,53198.0,58220.0,157011.0,79323.0,77688.0,71.0,67.0,75.0
2011,111753.0,53548.0,58205.0,154066.0,77731.0,76335.0,73.0,69.0,76.0
2012,111753.0,53568.0,58185.0,152873.0,77159.0,75714.0,73.0,69.0,77.0
2013,109868.0,52554.0,57314.0,151694.0,76825.0,74869.0,72.0,68.0,77.0
2014,110164.0,52710.0,57454.0,149902.0,76063.0,73839.0,73.0,69.0,78.0
2015,109993.0,52680.0,57313.0,149367.0,75793.0,73574.0,74.0,70.0,78.0
2016,107263.0,51194.0,56069.0,148836.0,75724.0,73112.0,72.0,68.0,77.0
2017,106127.0,50708.0,55419.0,147437.0,75046.0,72391.0,72.0,68.0,77.0
