Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 18 (a)-Estimated resident population by age group and sex - Island of Mauritius, 1984 - 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age group,1st July 1984,,,1st July 1985,,,1st July 1986,,,1st July 1987,,,1st July 1988,,,1st July 1989,,,1st July 1990,,,1st July 1991,,,1st July 1992,,,1st July 1993,,,1st July 1994,,,1st July 1995,,,1st July 1996,,,1st July 1997,,,1st July 1998,,,1st July 1999,,,1st July 2000,,,1st July 2001,,,1st July 2002,,,1st July 2003,,,1st July 2004,,,1st July 2005,,,1st July 2006,,,1st July 2007,,,1st July 2008,,,1st July 2009,,,1st July 2010,,,1st July 2011,,,1st July 2012,,,1st July 2013,,,1st July 2014,,,1st July 2015,,,1st July 2016,,
,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
0," 9,719 "," 9,368 "," 19,087 "," 9,288 "," 9,027 "," 18,315 "," 9,047 "," 8,712 "," 17,759 "," 9,307 "," 8,935 "," 18,242 "," 9,680 "," 9,535 "," 19,215 "," 10,420 "," 10,021 "," 20,441 "," 10,323 "," 10,022 "," 20,345 "," 10,803 "," 10,432 "," 21,235 "," 11,218 "," 10,624 "," 21,842 "," 10,817 "," 10,747 "," 21,564 "," 10,392 "," 10,255 "," 20,647 "," 10,290 "," 10,175 "," 20,465 "," 9,755 "," 9,567 "," 19,322 "," 9,643 "," 9,567 "," 19,210 "," 9,640 "," 9,292 "," 18,932 "," 9,580 "," 9,107 "," 18,687 "," 9,719 "," 9,290 "," 19,009 "," 9,671 "," 9,326 "," 18,997 "," 9,638 "," 9,246 "," 18,884 "," 9,620 "," 9,267 "," 18,887 "," 9,575 "," 9,229 "," 18,804 "," 9,441 "," 9,143 "," 18,584 "," 9,242 "," 8,931 "," 18,173 "," 9,014 "," 8,675 "," 17,689 "," 8,693 "," 8,361 "," 17,054 "," 8,324 "," 8,068 "," 16,392 "," 7,957 "," 7,723 "," 15,680 "," 6,973 "," 6,826 "," 13,799 "," 6,971 "," 6,805 "," 13,776 "," 6,762 "," 6,397 "," 13,159 "," 6,497 "," 6,327 "," 12,824 "," 6,301 "," 6,066 "," 12,367 "," 6,168 "," 5,811 "," 11,979 "
1 - 4," 45,334 "," 43,692 "," 89,026 "," 42,804 "," 40,612 "," 83,416 "," 39,819 "," 38,322 "," 78,141 "," 38,199 "," 36,042 "," 74,241 "," 36,886 "," 35,580 "," 72,466 "," 37,439 "," 36,103 "," 73,542 "," 37,693 "," 36,499 "," 74,192 "," 38,867 "," 37,807 "," 76,674 "," 40,633 "," 39,419 "," 80,052 "," 42,242 "," 40,669 "," 82,911 "," 43,051 "," 41,631 "," 84,682 "," 43,072 "," 41,825 "," 84,897 "," 42,543 "," 41,594 "," 84,137 "," 41,121 "," 40,608 "," 81,729 "," 39,957 "," 39,434 "," 79,391 "," 39,252 "," 38,556 "," 77,808 "," 38,520 "," 37,492 "," 76,012 "," 38,685 "," 37,303 "," 75,988 "," 38,552 "," 36,983 "," 75,535 "," 38,479 "," 37,067 "," 75,546 "," 38,298 "," 36,915 "," 75,213 "," 37,764 "," 36,571 "," 74,335 "," 36,966 "," 35,723 "," 72,689 "," 36,057 "," 34,701 "," 70,758 "," 34,770 "," 33,443 "," 68,213 "," 33,294 "," 32,274 "," 65,568 "," 31,827 "," 30,892 "," 62,719 "," 30,854 "," 30,158 "," 61,012 "," 29,537 "," 29,169 "," 58,706 "," 28,614 "," 28,178 "," 56,792 "," 27,905 "," 27,112 "," 55,017 "," 27,142 "," 26,306 "," 53,448 "," 26,468 "," 25,537 "," 52,005 "
5 - 9," 54,756 "," 52,484 "," 107,240 "," 56,458 "," 53,959 "," 110,417 "," 58,130 "," 55,159 "," 113,289 "," 57,864 "," 56,407 "," 114,271 "," 56,608 "," 54,623 "," 111,231 "," 54,748 "," 52,299 "," 107,047 "," 50,160 "," 48,662 "," 98,822 "," 47,765 "," 46,277 "," 94,042 "," 46,263 "," 44,504 "," 90,767 "," 46,118 "," 44,221 "," 90,339 "," 46,720 "," 44,991 "," 91,711 "," 47,800 "," 46,144 "," 93,944 "," 49,547 "," 47,904 "," 97,451 "," 51,713 "," 49,820 "," 101,533 "," 52,949 "," 51,269 "," 104,218 "," 53,328 "," 51,731 "," 105,059 "," 53,314 "," 51,945 "," 105,259 "," 52,189 "," 51,115 "," 103,304 "," 50,582 "," 50,047 "," 100,629 "," 49,365 "," 48,546 "," 97,911 "," 48,511 "," 47,426 "," 95,937 "," 47,940 "," 46,512 "," 94,452 "," 48,051 "," 46,355 "," 94,406 "," 47,865 "," 45,943 "," 93,808 "," 47,758 "," 46,051 "," 93,809 "," 47,515 "," 45,855 "," 93,370 "," 46,829 "," 45,410 "," 92,239 "," 45,817 "," 44,344 "," 90,161 "," 44,706 "," 43,018 "," 87,724 "," 43,146 "," 41,477 "," 84,623 "," 41,331 "," 40,105 "," 81,436 "," 39,625 "," 38,437 "," 78,062 "," 37,772 "," 36,943 "," 74,715 "
10 - 14," 48,151 "," 46,678 "," 94,829 "," 48,310 "," 46,895 "," 95,205 "," 48,385 "," 46,862 "," 95,247 "," 50,743 "," 47,483 "," 98,226 "," 53,226 "," 50,520 "," 103,746 "," 54,829 "," 52,299 "," 107,128 "," 54,711 "," 53,687 "," 108,398 "," 56,060 "," 54,686 "," 110,746 "," 56,101 "," 54,796 "," 110,897 "," 54,662 "," 53,415 "," 108,077 "," 52,823 "," 51,324 "," 104,147 "," 49,984 "," 48,326 "," 98,310 "," 47,710 "," 45,997 "," 93,707 "," 46,187 "," 44,349 "," 90,536 "," 46,054 "," 44,116 "," 90,170 "," 46,671 "," 44,908 "," 91,579 "," 47,441 "," 46,416 "," 93,857 "," 49,472 "," 48,194 "," 97,666 "," 51,679 "," 49,890 "," 101,569 "," 52,998 "," 51,377 "," 104,375 "," 53,327 "," 51,845 "," 105,172 "," 53,144 "," 51,930 "," 105,074 "," 52,068 "," 51,129 "," 103,197 "," 50,514 "," 50,087 "," 100,601 "," 49,354 "," 48,609 "," 97,963 "," 48,542 "," 47,515 "," 96,057 "," 48,020 "," 46,632 "," 94,652 "," 48,180 "," 46,500 "," 94,680 "," 47,935 "," 46,079 "," 94,014 "," 47,760 "," 46,127 "," 93,887 "," 47,483 "," 45,875 "," 93,358 "," 46,760 "," 45,401 "," 92,161 "," 45,777 "," 44,305 "," 90,082 "
15 - 19," 54,919 "," 53,987 "," 108,906 "," 53,751 "," 52,013 "," 105,764 "," 51,624 "," 49,177 "," 100,801 "," 49,840 "," 47,281 "," 97,121 "," 47,556 "," 46,186 "," 93,742 "," 47,470 "," 46,417 "," 93,887 "," 47,234 "," 45,986 "," 93,220 "," 47,651 "," 46,821 "," 94,472 "," 49,176 "," 47,788 "," 96,964 "," 51,502 "," 50,180 "," 101,682 "," 52,821 "," 51,675 "," 104,496 "," 54,434 "," 53,218 "," 107,652 "," 55,906 "," 54,315 "," 110,221 "," 55,944 "," 54,597 "," 110,541 "," 54,506 "," 53,246 "," 107,752 "," 52,693 "," 51,258 "," 103,951 "," 49,451 "," 48,132 "," 97,583 "," 46,895 "," 45,745 "," 92,640 "," 44,997 "," 43,968 "," 88,965 "," 44,488 "," 43,506 "," 87,994 "," 44,835 "," 43,886 "," 88,721 "," 45,889 "," 44,983 "," 90,872 "," 47,675 "," 46,558 "," 94,233 "," 49,631 "," 48,056 "," 97,687 "," 50,699 "," 49,340 "," 100,039 "," 50,769 "," 49,603 "," 100,372 "," 50,326 "," 49,486 "," 99,812 "," 49,007 "," 48,479 "," 97,486 "," 48,384 "," 48,153 "," 96,537 "," 47,861 "," 47,170 "," 95,031 "," 47,577 "," 46,515 "," 94,092 "," 47,556 "," 46,189 "," 93,745 "," 48,016 "," 46,364 "," 94,380 "
20 - 24," 54,506 "," 53,953 "," 108,459 "," 55,607 "," 54,307 "," 109,914 "," 56,705 "," 55,380 "," 112,085 "," 55,236 "," 54,705 "," 109,941 "," 54,389 "," 52,974 "," 107,363 "," 52,850 "," 51,462 "," 104,312 "," 50,787 "," 48,698 "," 99,485 "," 48,506 "," 46,453 "," 94,959 "," 47,615 "," 45,362 "," 92,977 "," 45,964 "," 43,293 "," 89,257 "," 46,718 "," 44,450 "," 91,168 "," 46,551 "," 44,664 "," 91,215 "," 47,112 "," 45,742 "," 92,854 "," 48,940 "," 47,224 "," 96,164 "," 51,343 "," 49,797 "," 101,140 "," 52,885 "," 51,610 "," 104,495 "," 53,328 "," 53,999 "," 107,327 "," 54,620 "," 54,753 "," 109,373 "," 54,493 "," 54,580 "," 109,073 "," 53,002 "," 52,654 "," 105,656 "," 51,113 "," 50,155 "," 101,268 "," 47,957 "," 46,863 "," 94,820 "," 45,305 "," 44,325 "," 89,630 "," 43,280 "," 42,365 "," 85,645 "," 42,626 "," 41,730 "," 84,356 "," 42,861 "," 41,953 "," 84,814 "," 43,818 "," 42,894 "," 86,712 "," 45,460 "," 44,303 "," 89,763 "," 47,260 "," 45,815 "," 93,075 "," 48,376 "," 47,151 "," 95,527 "," 48,769 "," 47,702 "," 96,471 "," 48,933 "," 47,893 "," 96,826 "," 48,356 "," 47,637 "," 95,993 "
25 - 29," 46,605 "," 45,671 "," 92,276 "," 47,586 "," 46,990 "," 94,576 "," 47,446 "," 47,186 "," 94,632 "," 49,608 "," 49,508 "," 99,116 "," 52,081 "," 50,703 "," 102,784 "," 52,870 "," 51,580 "," 104,450 "," 52,454 "," 50,580 "," 103,034 "," 53,381 "," 51,790 "," 105,171 "," 53,424 "," 50,648 "," 104,072 "," 52,950 "," 50,043 "," 102,993 "," 51,404 "," 48,469 "," 99,873 "," 50,044 "," 46,831 "," 96,875 "," 47,939 "," 44,729 "," 92,668 "," 47,172 "," 44,388 "," 91,560 "," 45,714 "," 42,749 "," 88,463 "," 46,783 "," 44,175 "," 90,958 "," 45,393 "," 45,662 "," 91,055 "," 45,630 "," 46,343 "," 91,973 "," 47,016 "," 47,541 "," 94,557 "," 49,038 "," 50,093 "," 99,131 "," 50,201 "," 51,498 "," 101,699 "," 51,920 "," 53,024 "," 104,944 "," 53,211 "," 53,838 "," 107,049 "," 53,084 "," 53,724 "," 106,808 "," 51,586 "," 51,827 "," 103,413 "," 49,738 "," 49,399 "," 99,137 "," 46,662 "," 46,177 "," 92,839 "," 44,063 "," 43,725 "," 87,788 "," 42,303 "," 41,862 "," 84,165 "," 41,974 "," 41,403 "," 83,377 "," 42,354 "," 41,540 "," 83,894 "," 43,081 "," 42,102 "," 85,183 "," 44,600 "," 43,278 "," 87,878 "
30 - 34," 40,744 "," 39,800 "," 80,544 "," 40,933 "," 40,211 "," 81,144 "," 41,358 "," 41,309 "," 82,667 "," 41,710 "," 43,385 "," 85,095 "," 42,977 "," 44,284 "," 87,261 "," 44,012 "," 44,906 "," 88,918 "," 46,606 "," 44,804 "," 91,410 "," 47,001 "," 45,251 "," 92,252 "," 47,991 "," 46,179 "," 94,170 "," 49,501 "," 47,019 "," 96,520 "," 51,237 "," 48,573 "," 99,810 "," 51,661 "," 48,939 "," 100,600 "," 52,845 "," 50,192 "," 103,037 "," 52,848 "," 49,654 "," 102,502 "," 52,493 "," 49,474 "," 101,967 "," 51,048 "," 48,049 "," 99,097 "," 48,743 "," 48,313 "," 97,056 "," 46,511 "," 46,144 "," 92,655 "," 45,133 "," 45,165 "," 90,298 "," 43,350 "," 43,024 "," 86,374 "," 43,565 "," 43,355 "," 86,920 "," 43,335 "," 43,228 "," 86,563 "," 43,502 "," 43,634 "," 87,136 "," 44,782 "," 44,537 "," 89,319 "," 46,670 "," 46,734 "," 93,404 "," 47,732 "," 47,823 "," 95,555 "," 49,344 "," 49,034 "," 98,378 "," 50,554 "," 49,532 "," 100,086 "," 50,647 "," 49,755 "," 100,402 "," 49,478 "," 48,506 "," 97,984 "," 47,650 "," 46,890 "," 94,540 "," 45,281 "," 44,511 "," 89,792 "," 43,101 "," 42,469 "," 85,570 "
35 - 39," 28,032 "," 29,441 "," 57,473 "," 29,662 "," 30,401 "," 60,063 "," 34,267 "," 34,147 "," 68,414 "," 36,825 "," 35,627 "," 72,452 "," 37,549 "," 38,188 "," 75,737 "," 37,277 "," 39,286 "," 76,563 "," 40,439 "," 39,145 "," 79,584 "," 40,782 "," 39,539 "," 80,321 "," 42,406 "," 40,715 "," 83,121 "," 43,002 "," 41,131 "," 84,133 "," 44,167 "," 42,379 "," 86,546 "," 45,687 "," 43,712 "," 89,399 "," 46,257 "," 44,156 "," 90,413 "," 47,183 "," 45,432 "," 92,615 "," 48,734 "," 46,556 "," 95,290 "," 50,492 "," 48,119 "," 98,611 "," 50,507 "," 49,157 "," 99,664 "," 51,400 "," 50,260 "," 101,660 "," 50,735 "," 49,351 "," 100,086 "," 50,029 "," 49,175 "," 99,204 "," 48,047 "," 47,328 "," 95,375 "," 47,253 "," 46,368 "," 93,621 "," 45,198 "," 44,291 "," 89,489 "," 43,964 "," 43,373 "," 87,337 "," 42,327 "," 41,292 "," 83,619 "," 42,707 "," 41,697 "," 84,404 "," 42,605 "," 41,688 "," 84,293 "," 42,904 "," 42,173 "," 85,077 "," 44,010 "," 43,000 "," 87,010 "," 45,838 "," 44,860 "," 90,698 "," 47,095 "," 45,672 "," 92,767 "," 48,317 "," 47,063 "," 95,380 "," 49,371 "," 47,787 "," 97,158 "
