Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 19 - Estimated Resident Population By Geographical District and Sex - Republic Of Mauritius, 1990 - 2016 (Mid -Year Estimates ) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,Area,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,New Area,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,
DISTRICT,(Km²),B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,(Km²),B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female,B.sexes,Male,Female
 Port Louis,42.7   ,"133,349 "," 66,351 "," 66,998 ","133,676 "," 66,547 "," 67,129 ","134,343 "," 67,309 "," 67,034 ","135,076 "," 67,753 "," 67,323 ","136,105 "," 68,214 "," 67,891 ","136,470 "," 68,370 "," 68,100 ","136,738 "," 68,559 "," 68,179 ","137,191 "," 68,744 "," 68,447 ","137,549 "," 68,949 "," 68,600 ","138,211 "," 69,271 "," 68,940 ","128,764 "," 63,964 "," 64,800 ","128,474 "," 63,827 "," 64,647 ","128,057 "," 63,619 "," 64,438 ","127,681 "," 63,419 "," 64,262 ","127,180 "," 63,171 "," 64,009 ","126,633 "," 62,899 "," 63,734 ","125,924 "," 62,547 "," 63,377 ","125,206 "," 62,207 "," 62,999 ","124,369 "," 61,783 "," 62,586 ","123,416 "," 61,282 "," 62,134 ","122,434 "," 60,791 "," 61,643 ",40.4   ,"121,361 "," 60,245 "," 61,116 ","121,042 "," 60,101 "," 60,941 ","120,748 "," 59,977 "," 60,771 ","120,376 "," 59,809 "," 60,567 ","120,001 "," 59,621 "," 60,380 ","119,554 "," 59,416 "," 60,138 "
 Pamplemousses,178.7   ,"101,876 "," 51,345 "," 50,531 ","103,522 "," 52,006 "," 51,516 ","105,440 "," 53,108 "," 52,332 ","107,152 "," 53,998 "," 53,154 ","109,023 "," 54,965 "," 54,058 ","110,442 "," 55,620 "," 54,822 ","112,134 "," 56,458 "," 55,676 ","113,836 "," 57,352 "," 56,484 ","115,397 "," 58,152 "," 57,245 ","117,367 "," 59,121 "," 58,246 ","123,142 "," 61,028 "," 62,114 ","124,778 "," 61,867 "," 62,911 ","126,300 "," 62,642 "," 63,658 ","127,872 "," 63,429 "," 64,443 ","129,324 "," 64,172 "," 65,152 ","130,736 "," 64,893 "," 65,843 ","131,983 "," 65,534 "," 66,449 ","133,218 "," 66,185 "," 67,033 ","134,324 "," 66,747 "," 67,577 ","135,298 "," 67,221 "," 68,077 ","136,229 "," 67,701 "," 68,528 ",179.6   ,"137,048 "," 68,113 "," 68,935 ","137,860 "," 68,443 "," 69,417 ","138,575 "," 68,811 "," 69,764 ","139,234 "," 69,098 "," 70,136 ","139,752 "," 69,287 "," 70,465 ","140,279 "," 69,581 "," 70,698 "
 Riv. du Rempart,147.6   ,"86,959 "," 43,475 "," 43,484 ","87,984 "," 43,936 "," 44,048 ","89,360 "," 44,688 "," 44,672 ","90,681 "," 45,287 "," 45,394 ","92,133 "," 45,918 "," 46,215 ","92,898 "," 46,245 "," 46,653 ","94,281 "," 46,929 "," 47,352 ","95,729 "," 47,579 "," 48,150 ","96,974 "," 48,193 "," 48,781 ","98,422 "," 48,880 "," 49,542 ","99,568 "," 49,515 "," 50,053 ","100,563 "," 50,003 "," 50,560 ","101,468 "," 50,440 "," 51,028 ","102,408 "," 50,884 "," 51,524 ","103,252 "," 51,293 "," 51,959 ","104,063 "," 51,683 "," 52,380 ","104,744 "," 52,011 "," 52,733 ","105,414 "," 52,346 "," 53,068 ","105,983 "," 52,610 "," 53,373 ","106,448 "," 52,806 "," 53,642 ","106,882 "," 53,007 "," 53,875 ",154.3   ,"107,229 "," 53,157 "," 54,072 ","107,521 "," 53,311 "," 54,210 ","107,699 "," 53,407 "," 54,292 ","107,928 "," 53,526 "," 54,402 ","108,040 "," 53,589 "," 54,451 ","108,042 "," 53,566 "," 54,476 "
 Flacq,297.9   ,"113,006 "," 56,599 "," 56,407 ","113,916 "," 56,958 "," 56,958 ","115,304 "," 57,799 "," 57,505 ","116,599 "," 58,455 "," 58,144 ","118,149 "," 59,256 "," 58,893 ","119,151 "," 59,696 "," 59,455 ","120,338 "," 60,339 "," 59,999 ","121,653 "," 61,006 "," 60,647 ","122,903 "," 61,636 "," 61,267 ","124,478 "," 62,460 "," 62,018 ","127,804 "," 64,087 "," 63,717 ","129,022 "," 64,662 "," 64,360 ","130,120 "," 65,170 "," 64,950 ","131,266 "," 65,687 "," 65,579 ","132,288 "," 66,157 "," 66,131 ","133,267 "," 66,605 "," 66,662 ","134,078 "," 66,970 "," 67,108 ","134,876 "," 67,346 "," 67,530 ","135,546 "," 67,631 "," 67,915 ","136,082 "," 67,827 "," 68,255 ","136,579 "," 68,033 "," 68,546 ",298.8   ,"136,966 "," 68,171 "," 68,795 ","137,499 "," 68,412 "," 69,087 ","137,922 "," 68,608 "," 69,314 ","138,349 "," 68,823 "," 69,526 ","138,456 "," 68,846 "," 69,610 ","138,543 "," 68,878 "," 69,665 "
 Grand Port,260.3   ,"96,867 "," 48,551 "," 48,316 ","97,842 "," 49,027 "," 48,815 ","99,140 "," 49,789 "," 49,351 ","100,427 "," 50,456 "," 49,971 ","101,703 "," 51,048 "," 50,655 ","102,465 "," 51,441 "," 51,024 ","103,544 "," 51,982 "," 51,562 ","104,744 "," 52,506 "," 52,238 ","105,850 "," 53,010 "," 52,840 ","107,047 "," 53,585 "," 53,462 ","107,458 "," 53,450 "," 54,008 ","108,224 "," 53,838 "," 54,386 ","108,891 "," 54,170 "," 54,721 ","109,596 "," 54,511 "," 55,085 ","110,196 "," 54,812 "," 55,384 ","110,759 "," 55,093 "," 55,666 ","111,183 "," 55,306 "," 55,877 ","111,596 "," 55,528 "," 56,068 ","111,903 "," 55,675 "," 56,228 ","112,102 "," 55,751 "," 56,351 ","112,270 "," 55,833 "," 56,437 ",261.3   ,"112,347 "," 55,861 "," 56,486 ","112,581 "," 56,013 "," 56,568 ","112,776 "," 56,158 "," 56,618 ","112,869 "," 56,185 "," 56,684 ","112,979 "," 56,215 "," 56,764 ","112,985 "," 56,235 "," 56,750 "
 Savanne,244.8   ,"60,967 "," 30,523 "," 30,444 ","61,569 "," 30,827 "," 30,742 ","62,244 "," 31,192 "," 31,052 ","62,810 "," 31,507 "," 31,303 ","63,545 "," 31,811 "," 31,734 ","63,980 "," 32,017 "," 31,963 ","64,268 "," 32,137 "," 32,131 ","64,876 "," 32,411 "," 32,465 ","65,361 "," 32,647 "," 32,714 ","65,924 "," 32,896 "," 33,028 ","66,832 "," 33,052 "," 33,780 ","67,201 "," 33,241 "," 33,960 ","67,505 "," 33,395 "," 34,110 ","67,833 "," 33,553 "," 34,280 ","68,097 "," 33,687 "," 34,410 ","68,339 "," 33,810 "," 34,529 ","68,492 "," 33,890 "," 34,602 ","68,641 "," 33,976 "," 34,665 ","68,724 "," 34,016 "," 34,708 ","68,740 "," 34,011 "," 34,729 ","68,737 "," 34,012 "," 34,725 ",246.2   ,"68,681 "," 33,980 "," 34,701 ","68,779 "," 34,039 "," 34,740 ","68,760 "," 34,058 "," 34,702 ","68,713 "," 34,053 "," 34,660 ","68,679 "," 34,061 "," 34,618 ","68,547 "," 34,022 "," 34,525 "
 Plaine Wilhems,203.3   ,"322,378 "," 160,669 "," 161,709 ","326,119 "," 162,417 "," 163,702 ","330,758 "," 165,269 "," 165,489 ","334,567 "," 167,508 "," 167,059 ","339,658 "," 169,886 "," 169,772 ","342,397 "," 171,259 "," 171,138 ","345,848 "," 172,782 "," 173,066 ","350,683 "," 175,216 "," 175,467 ","354,346 "," 176,907 "," 177,439 ","358,860 "," 179,000 "," 179,860 ","360,474 "," 177,116 "," 183,358 ","362,349 "," 178,000 "," 184,349 ","363,887 "," 178,696 "," 185,191 ","365,546 "," 179,415 "," 186,131 ","366,854 "," 180,002 "," 186,852 ","368,045 "," 180,529 "," 187,516 ","368,764 "," 180,829 "," 187,935 ","369,452 "," 181,158 "," 188,294 ","369,793 "," 181,246 "," 188,547 ","369,772 "," 181,097 "," 188,675 ","369,654 "," 180,975 "," 188,679 ",196.2   ,"369,242 "," 180,678 "," 188,564 ","369,261 "," 180,698 "," 188,563 ","369,170 "," 180,713 "," 188,457 ","369,066 "," 180,685 "," 188,381 ","368,957 "," 180,655 "," 188,302 ","368,558 "," 180,459 "," 188,099 "
 Moka,230.5   ,"65,310 "," 32,462 "," 32,848 ","66,225 "," 32,880 "," 33,345 ","67,257 "," 33,378 "," 33,879 ","68,261 "," 33,836 "," 34,425 ","69,269 "," 34,274 "," 34,995 ","70,319 "," 34,754 "," 35,565 ","71,164 "," 35,161 "," 36,003 ","72,400 "," 35,741 "," 36,659 ","73,490 "," 36,252 "," 37,238 ","74,673 "," 36,782 "," 37,891 ","76,009 "," 37,569 "," 38,440 ","76,810 "," 37,993 "," 38,817 ","77,540 "," 38,376 "," 39,164 ","78,300 "," 38,767 "," 39,533 ","78,985 "," 39,130 "," 39,855 ","79,646 "," 39,480 "," 40,166 ","80,204 "," 39,780 "," 40,424 ","80,757 "," 40,088 "," 40,669 ","81,232 "," 40,341 "," 40,891 ","81,627 "," 40,542 "," 41,085 ","81,997 "," 40,745 "," 41,252 ",234.4   ,"82,302 "," 40,910 "," 41,392 ","82,639 "," 41,086 "," 41,553 ","82,890 "," 41,216 "," 41,674 ","83,059 "," 41,304 "," 41,755 ","83,241 "," 41,423 "," 41,818 ","83,346 "," 41,464 "," 41,882 "
 Black River,259.0   ,"43,859 "," 22,030 "," 21,829 ","44,954 "," 22,597 "," 22,357 ","46,121 "," 23,219 "," 22,902 ","47,237 "," 23,799 "," 23,438 ","48,361 "," 24,343 "," 24,018 ","49,221 "," 24,783 "," 24,438 ","50,353 "," 25,324 "," 25,029 ","51,524 "," 25,873 "," 25,651 ","52,638 "," 26,420 "," 26,218 ","53,987 "," 27,056 "," 26,931 ","61,043 "," 30,731 "," 30,312 ","62,662 "," 31,543 "," 31,119 ","64,227 "," 32,325 "," 31,902 ","65,821 "," 33,114 "," 32,707 ","67,357 "," 33,882 "," 33,475 ","68,873 "," 34,639 "," 34,234 ","70,304 "," 35,354 "," 34,950 ","71,727 "," 36,074 "," 35,653 ","73,081 "," 36,746 "," 36,335 ","74,357 "," 37,366 "," 36,991 ","75,609 "," 37,989 "," 37,620 ",257.2   ,"76,794 "," 38,572 "," 38,222 ","77,805 "," 39,055 "," 38,750 ","78,801 "," 39,545 "," 39,256 ","79,671 "," 39,990 "," 39,681 ","80,558 "," 40,421 "," 40,137 ","81,359 "," 40,823 "," 40,536 "
