Back to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3.1 - Secondary Enrolment and Gross Enrolment Ratio 1 by sex, Island of Mauritius, Island of Rodrigues & Republic of Mauritius, 1972 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 General ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Island of Mauritius,,,,,,,,,Island of Rodrigues,,,,,,,,,Republic of Mauritius,,,,,,,,,,,,,,,,,
, Enrolment ,,, Population (12 - 19) ,,,Gross Enrolment Ratio,,, Enrolment ,,, Population (12 - 19) ,,,Gross Enrolment Ratio,,, Enrolment ,,, Population (12 - 19) ,,,Gross Enrolment Ratio,,,,,,,,,,,
, Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female , Total , Male , Female ,,,,,,,,,
1972,"52,030","30,551","21,479","165,855","83,038","82,817",31,37,26,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1973,"55,619","31,929","23,690","166,604","83,612","82,992",33,38,29,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1974,"60,116","33,815","26,301","171,247","86,099","85,148",35,39,31,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1975,"63,142","35,112","28,030","174,930","88,210","86,720",36,40,32,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1976,"66,920","36,616","30,304","178,280","89,864","88,416",38,41,34,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1977,"78,038","41,905","36,133","180,190","90,786","89,404",43,46,40,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1978,"80,479","42,367","38,112","182,792","92,070","90,722",44,46,42,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1979,"81,946","43,257","38,689","182,550","91,591","90,959",45,47,43,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1980,"80,881","41,717","39,164","181,823","90,799","91,024",44,46,43,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1981,"78,332","40,993","37,339","178,754","89,047","89,707",44,46,42,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1982,"76,308","40,091","36,217","175,162","87,362","87,800",44,46,41,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1983,"75,963","40,057","35,906","172,630","87,478","85,152",44,46,42,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1984,"72,730","38,855","33,875","166,235","84,016","82,219",44,46,41,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1985,"70,551","37,149","33,402","160,290","81,446","78,844",44,46,42,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1986,"68,604","36,048","32,556","156,406","79,648","76,758",44,45,42,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1987,"69,825","36,445","33,380","154,914","79,665","75,249",45,46,44,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1988,"72,389","36,673","35,716","153,657","78,297","75,360",47,47,47,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1989,"76,156","38,428","37,728","155,750","79,168","76,582",49,49,49,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,,,,,,,,,
1990,"76,440","38,242","38,198","155,523","78,720","76,803",49,49,50,"1,670",866,804,"6,826","3,428","3,398",24,25,24,"78,110","39,108","39,002"," 162,349 ","82,148","80,201",48,48,49,,,,,,,,,
1991,"79,327","38,916","40,411","159,433","80,499","78,934",50,48,51,"1,763",862,901,"6,993","3,531","3,462",25,24,26,"81,090","39,778","41,312"," 166,426 ","84,030","82,396",49,47,50,,,,,,,,,
1992,"81,706","40,352","41,354","164,699","83,302","81,397",50,48,51,"1,885",894,991,"7,311","3,670","3,641",26,24,27,"83,591","41,246","42,345"," 172,010 ","86,972","85,038",49,47,50,,,,,,,,,
1993,"85,522","42,032","43,490","169,708","85,921","83,787",50,49,52,"2,139",993,"1,146","7,614","3,796","3,818",28,26,30,"87,661","43,025","44,636"," 177,322 ","89,717","87,605",49,48,51,,,,,,,,,
1994,"87,177","42,636","44,541","171,090","86,584","84,506",51,49,53,"2,404","1,117","1,287","7,836","3,897","3,939",31,29,33,"89,581","43,753","45,828"," 178,926 ","90,481","88,445",50,48,52,,,,,,,,,
1995,"88,455","43,023","45,432","169,152","85,663","83,489",52,50,54,"2,649","1,247","1,402","7,922","3,966","3,956",33,31,35,"91,104","44,270","46,834"," 177,074 ","89,629","87,445",51,49,54,,,,,,,,,
1996,"90,120","44,198","45,922","168,557","85,485","83,072",53,52,55,"2,917","1,368","1,549","7,860","3,928","3,932",37,35,39,"93,037","45,566","47,471"," 176,417 ","89,413","87,004",53,51,55,,,,,,,,,
1997,"90,714","44,198","46,516","165,873","84,126","81,747",55,53,57,"3,125","1,508","1,617","7,833","3,912","3,921",40,39,41,"93,839","45,706","48,133"," 173,706 ","88,038","85,668",54,52,56,,,,,,,,,
1998,"91,240","44,520","46,720","161,479","82,005","79,474",57,54,59,"3,124","1,462","1,662","7,623","3,815","3,808",41,38,44,"94,364","45,982","48,382"," 169,102 ","85,820","83,282",56,54,58,,,,,,,,,
1999,"91,962","44,702","47,260","157,007","79,843","77,164",59,56,61,"3,225","1,551","1,674","7,434","3,684","3,750",43,42,45,"95,187","46,253","48,934"," 164,441 ","83,527","80,914",58,55,60,,,,,,,,,
2000,"92,208","44,860","47,348","151,333","76,527","74,806",61,59,63,"3,240","1,539","1,701","6,796","3,380","3,416",48,46,50,"95,448","46,399","49,049"," 158,129 ","79,907","78,222",60,58,63,,,,,,,,,
