Back to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3.2 - Secondary Enrolment by grade and sex, Island of Mauritius, Island of Rodrigues & Republic of Mauritius, 1968 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Island of Mauritius,,,,,,,,Island of Rodrigues,,,,,,,,Republic of Mauritius,,,,,,,,
,  I, II,III,IV, V,Lower VI,Upper VI,All Grade,  I, II,III,IV, V,Lower VI,Upper VI,All Grade,  I, II,III,IV, V,Lower VI,Upper VI,All Grade,
1968,"9,278  ","7,755  ","6,491  ","7,112  ","7,194  ","1,661  ",,"39,491  ",53  ,44  ,39  ,55  ,21  ,-,-,212  ,"9,331  ","7,799  ","6,530  ","7,167  ","7,215  ","1,661  ",,"39,703  ",
1969,"9,626  ","7,911  ","7,007  ","7,067  ","8,730  ","1,883  ",,"42,224  ",55  ,48  ,41  ,50  ,26  ,-,-,220  ,"9,681  ","7,959  ","7,048  ","7,117  ","8,756  ","1,883  ",,"42,444  ",
1970,"9,509  ","8,578  ","7,191  ","7,368  ","9,003  ","2,058  ",,"43,707  ",69  ,55  ,42  ,69  ,27  ,-,-,262  ,"9,578  ","8,633  ","7,233  ","7,437  ","9,030  ","2,058  ",,"43,969  ",
1971,"11,664  ","8,714  ","7,950  ","7,844  ","8,500  ","2,225  ",,"46,897  ",88  ,66  ,45  ,61  ,41  ,-,-,301  ,"11,752  ","8,780  ","7,995  ","7,905  ","8,541  ","2,225  ",,"47,198  ",
1972,"12,443  ","10,622  ","8,209  ","9,248  ","8,975  ","2,533  ",,"52,030  ",72  ,80  ,51  ,52  ,45  ,-,-,300  ,"12,515  ","10,702  ","8,260  ","9,300  ","9,020  ","2,533  ",,"52,330  ",
1973,"12,927  ","11,200  ","9,821  ","9,443  ","9,680  ","2,548  ",,"55,619  ",60  ,58  ,65  ,46  ,45  ,-,-,274  ,"12,987  ","11,258  ","9,886  ","9,489  ","9,725  ","2,548  ",,"55,893  ",
1974,"14,162  ","11,788  ","10,446  ","10,665  ","10,294  ","2,761  ",,"60,116  ",80  ,65  ,60  ,55  ,65  ,-,-,325  ,"14,242  ","11,853  ","10,506  ","10,720  ","10,359  ","2,761  ",,"60,441  ",
1975,"14,474  ","12,701  ","10,607  ","11,194  ","11,303  ","2,863  ",,"63,142  ",70  ,105  ,60  ,50  ,45  ,-,-,330  ,"14,544  ","12,806  ","10,667  ","11,244  ","11,348  ","2,863  ",,"63,472  ",
1976,"16,109  ","13,045  ","11,638  ","11,216  ","11,966  ","2,946  ",,"66,920  ",105  ,69  ,85  ,40  ,25  ,20  ,,344  ,"16,214  ","13,114  ","11,723  ","11,256  ","11,991  ","2,966  ",,"67,264  ",
1977,"19,970  ","14,804  ","12,505  ","12,628  ","14,315  ","3,816  ",,"78,038  ",109  ,100  ,121  ,40  ,18  ,3  ,,391  ,"20,079  ","14,904  ","12,626  ","12,668  ","14,333  ","3,819  ",,"78,429  ",
1978,"17,231  ","17,188  ","13,745  ","13,631  ","14,533  ","4,151  ",,"80,479  ",258  ,68  ,93  ,29  ,12  ,-,-,460  ,"17,489  ","17,256  ","13,838  ","13,660  ","14,545  ","4,151  ",,"80,939  ",
1979,"14,953  ","16,847  ","16,356  ","14,760  ","14,358  ","4,672  ",,"81,946  ",438  ,109  ,63  ,44  ,16  ,-,-,670  ,"15,391  ","16,956  ","16,419  ","14,804  ","14,374  ","4,672  ",,"82,616  ",
1980,"13,970  ","14,424  ","16,087  ","16,272  ","15,129  ","4,999  ",,"80,881  ",284  ,358  ,59  ,41  ,27  ,6  ,,775  ,"14,254  ","14,782  ","16,146  ","16,313  ","15,156  ","5,005  ",,"81,656  ",
1981,"13,774  ","13,500  ","12,915  ","17,002  ","15,791  ","5,350  ",,"78,332  ",292  ,256  ,323  ,55  ,40  ,16  ,,982  ,"14,066  ","13,756  ","13,238  ","17,057  ","15,831  ","5,366  ",,"79,314  ",
1982,"13,014  ","13,178  ","12,535  ","15,318  ","16,129  ","6,134  ",,"76,308  ",263  ,276  ,360  ,148  ,67  ,20  ,,"1,134  ","13,277  ","13,454  ","12,895  ","15,466  ","16,196  ","6,154  ",,"77,442  ",
1983,"14,289  ","12,822  ","12,488  ","15,377  ","14,726  ","6,261  ",,"75,963  ",314  ,249  ,289  ,257  ,80  ,36  ,,"1,225  ","14,603  ","13,071  ","12,777  ","15,634  ","14,806  ","6,297  ",,"77,188  ",
1984,"12,218  ","13,079  ","12,151  ","14,621  ","14,299  ","2,781  ","3,581  ","72,730  ",293  ,299  ,186  ,251  ,169  ,14  ,19  ,"1,231  ","12,511  ","13,378  ","12,337  ","14,872  ","14,468  ","2,795  ","3,600  ","73,961  ",
1985,"12,390  ","11,730  ","12,307  ","13,998  ","13,256  ","3,203  ","3,667  ","70,551  ",311  ,212  ,222  ,185  ,177  ,11  ,17  ,"1,135  ","12,701  ","11,942  ","12,529  ","14,183  ","13,433  ","3,214  ","3,684  ","71,686  ",
1986,"12,841  ","11,604  ","11,037  ","13,487  ","12,316  ","3,649  ","3,670  ","68,604  ",336  ,210  ,201  ,204  ,144  ,13  ,7  ,"1,115  ","13,177  ","11,814  ","11,238  ","13,691  ","12,460  ","3,662  ","3,677  ","69,719  ",
1987,"15,807  ","12,125  ","10,953  ","12,294  ","11,284  ","3,380  ","3,982  ","69,825  ",368  ,256  ,207  ,208  ,164  ,21  ,10  ,"1,234  ","16,175  ","12,381  ","11,160  ","12,502  ","11,448  ","3,401  ","3,992  ","71,059  ",
1988,"15,299  ","15,038  ","11,594  ","12,013  ","10,959  ","3,521  ","3,965  ","72,389  ",365  ,341  ,243  ,216  ,182  ,17  ,12  ,"1,376  ","15,664  ","15,379  ","11,837  ","12,229  ","11,141  ","3,538  ","3,977  ","73,765  ",
1989,"16,083  ","14,731  ","14,082  ","12,548  ","11,053  ","3,281  ","4,378  ","76,156  ",457  ,378  ,265  ,194  ,259  ,18  ,13  ,"1,584  ","16,540  ","15,109  ","14,347  ","12,742  ","11,312  ","3,299  ","4,391  ","77,740  ",
1990,"13,307  ","14,995  ","14,110  ","14,731  ","11,513  ","3,567  ","4,217  ","76,440  ",400  ,432  ,373  ,242  ,182  ,26  ,15  ,"1,670  ","13,707  ","15,427  ","14,483  ","14,973  ","11,695  ","3,593  ","4,232  ","78,110  ",
1991,"15,126  ","13,378  ","14,341  ","15,289  ","13,023  ","3,745  ","4,425  ","79,327  ",447  ,422  ,405  ,274  ,169  ,20  ,26  ,"1,763  ","15,573  ","13,800  ","14,746  ","15,563  ","13,192  ","3,765  ","4,451  ","81,090  ",
1992,"15,827  ","14,844  ","12,874  ","15,715  ","13,564  ","4,351  ","4,531  ","81,706  ",518  ,360  ,451  ,291  ,226  ,18  ,21  ,"1,885  ","16,345  ","15,204  ","13,325  ","16,006  ","13,790  ","4,369  ","4,552  ","83,591  ",
1993,"17,083  ","15,553  ","14,388  ","14,520  ","14,041  ","4,572  ","5,365  ","85,522  ",574  ,462  ,415  ,391  ,248  ,23  ,26  ,"2,139  ","17,657  ","16,015  ","14,803  ","14,911  ","14,289  ","4,595  ","5,391  ","87,661  ",
1994,"15,815  ","16,626  ","15,156  ","15,354  ","13,874  ","4,835  ","5,517  ","87,177  ",605  ,582  ,460  ,367  ,316  ,53  ,21  ,"2,404  ","16,420  ","17,208  ","15,616  ","15,721  ","14,190  ","4,888  ","5,538  ","89,581  ",
1995,"15,698  ","15,261  ","16,110  ","16,225  ","14,439  ","4,887  ","5,835  ","88,455  ",591  ,616  ,540  ,436  ,378  ,48  ,40  ,"2,649  ","16,289  ","15,877  ","16,650  ","16,661  ","14,817  ","4,935  ","5,875  ","91,104  ",
1996,"15,872  ","15,240  ","15,467  ","17,043  ","15,328  ","5,284  ","5,886  ","90,120  ",614  ,593  ,636  ,524  ,433  ,77  ,40  ,"2,917  ","16,486  ","15,833  ","16,103  ","17,567  ","15,761  ","5,361  ","5,926  ","93,037  ",
1997,"14,749  ","15,437  ","15,113  ","17,001  ","16,143  ","5,918  ","6,353  ","90,714  ",635  ,621  ,632  ,601  ,481  ,80  ,75  ,"3,125  ","15,384  ","16,058  ","15,745  ","17,602  ","16,624  ","5,998  ","6,428  ","93,839  ",
1998,"14,651  ","14,577  ","15,337  ","16,673  ","17,031  ","6,099  ","6,872  ","91,240  ",553  ,624  ,655  ,601  ,504  ,105  ,82  ,"3,124  ","15,204  ","15,201  ","15,992  ","17,274  ","17,535  ","6,204  ","6,954  ","94,364  ",
1999,"14,905  ","14,927  ","14,619  ","17,011  ","16,856  ","6,291  ","7,353  ","91,962  ",617  ,512  ,634  ,605  ,617  ,130  ,110  ,"3,225  ","15,522  ","15,439  ","15,253  ","17,616  ","17,473  ","6,421  ","7,463  ","95,187  ",
2000,"15,194  ","15,026  ","14,779  ","16,307  ","17,071  ","6,526  ","7,305  ","92,208  ",558  ,594  ,574  ,582  ,667  ,120  ,145  ,"3,240  ","15,752  ","15,620  ","15,353  ","16,889  ","17,738  ","6,646  ","7,450  ","95,448  ",
2001,"16,743  ","15,336  ","15,079  ","16,304  ","16,304  ","6,956  ","7,613  ","94,335  ",557  ,620  ,622  ,499  ,713  ,147  ,154  ,"3,312  ","17,300  ","15,956  ","15,701  ","16,803  ","17,017  ","7,103  ","7,767  ","97,647  ",
2002,"17,096  ","16,829  ","15,425  ","16,187  ","16,420  ","6,892  ","7,480  ","96,329  ",581  ,653  ,609  ,570  ,604  ,154  ,187  ,"3,358  ","17,677  ","17,482  ","16,034  ","16,757  ","17,024  ","7,046  ","7,667  ","99,687  ",
