Back to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3.5 - Cambridge Higher School Certificate (HSC) examination results, Island of Mauritius, Island of Rodrigues & Republic of Mauritius, 1980 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Island of Mauritius,,,,,,,,,Island of Rodrigues,,,,,,,,,Republic of Mauritius,,,,,,,,
,Number examined,,,Number passed,,,% passed,,,Number examined,,,Number passed,,,% passed,,,Number examined,,,Number passed,,,% passed,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
1980," 2,353 "," 1,481 ", 872 , 879 , 528 , 351 ,37.4,35.7,40.3,    -  ,    -  ,    -  ,    -  ,    -  ,    -  ,    -  ,    -  ,    -  ," 2,353 "," 1,481 ", 872 , 879 , 528 , 351 ,37.4,35.7,40.3
1981," 2,617 "," 1,561 "," 1,056 "," 1,009 ", 584 , 425 ,38.6,37.4,40.2,    -  ,    -  ,    -  ,    -  ,    -  ,    -  ,    -  ,    -  ,    -  ," 2,617 "," 1,561 "," 1,056 "," 1,009 ", 584 , 425 ,38.6,37.4,40.2
1982," 2,973 "," 1,705 "," 1,268 "," 1,272 ", 717 , 555 ,42.8,42.1,43.8,    -  ,    -  ,    -  , -   , -   , -   , -   , -   , -   ," 2,973 "," 1,705 "," 1,268 "," 1,272 ", 717 , 555 ,42.8,42.1,43.8
1983," 3,318 "," 1,913 "," 1,405 "," 1,471 ", 814 , 657 ,44.3,42.6,46.8,    -  ,    -  ,    -  ,    -  ,    -  ,    -  ,    -  ,    -  ,    -  ," 3,318 "," 1,913 "," 1,405 "," 1,471 ", 814 , 657 ,44.3,42.6,46.8
1984," 3,320 "," 1,894 "," 1,426 "," 1,651 ", 922 , 729 ,49.7,48.7,51.1, 21 , 13 , 8 , 2 , 1 , 1 ,9.5,7.7,12.5," 3,341 "," 1,907 "," 1,434 "," 1,653 ", 923 , 730 ,49.5,48.4,50.9
1985," 3,377 "," 1,919 "," 1,458 "," 1,858 "," 1,043 ", 815 ,55.0,54.4,55.9, 8 , 3 , 5 , 4 , 2 , 2 ,50.0,66.7,40.0," 3,385 "," 1,922 "," 1,463 "," 1,862 "," 1,045 ", 817 ,55.0,54.4,55.8
1986," 3,503 "," 1,998 "," 1,505 "," 1,881 "," 1,073 ", 808 ,53.7,53.7,53.7, 7 , 5 , 2 , 2 , 2 , -   ,28.6,40.0,0.0," 3,510 "," 2,003 "," 1,507 "," 1,883 "," 1,075 ", 808 ,53.6,53.7,53.6
1987," 3,885 "," 2,196 "," 1,689 "," 2,157 "," 1,128 "," 1,029 ",55.5,51.4,60.9, 10 , 7 , 3 , 7 , 5 , 2 ,70.0,71.4,66.7," 3,895 "," 2,203 "," 1,692 "," 2,164 "," 1,133 "," 1,031 ",55.6,51.4,60.9
1988," 3,858 "," 2,162 "," 1,696 "," 2,028 "," 1,102 ", 926 ,52.6,51.0,54.6, 12 , 7 , 5 , 8 , 6 , 2 ,66.7,85.7,40.0," 3,870 "," 2,169 "," 1,701 "," 2,036 "," 1,108 ", 928 ,52.6,51.1,54.6
1989," 4,104 "," 2,198 "," 1,906 "," 2,236 "," 1,185 "," 1,051 ",54.5,53.9,55.1, 13 , 6 , 7 , 7 , 3 , 4 ,53.8,50.0,57.1," 4,117 "," 2,204 "," 1,913 "," 2,243 "," 1,188 "," 1,055 ",54.5,53.9,55.1
1990," 3,965 "," 2,086 "," 1,879 "," 2,226 "," 1,144 "," 1,082 ",56.1,54.8,57.6, 15 , 11 , 4 , 5 , 4 , 1 ,33.3,36.4,25.0," 3,980 "," 2,097 "," 1,883 "," 2,231 "," 1,148 "," 1,083 ",56.1,54.7,57.5
1991," 4,123 "," 2,071 "," 2,052 "," 2,472 "," 1,224 "," 1,248 ",60.0,59.1,60.8, 27 , 18 , 9 , 9 , 4 , 5 ,33.3,22.2,55.6," 4,150 "," 2,089 "," 2,061 "," 2,481 "," 1,228 "," 1,253 ",59.8,58.8,60.8
1992," 4,285 "," 2,197 "," 2,088 "," 2,305 "," 1,196 "," 1,109 ",53.8,54.4,53.1, 21 , 13 , 8 , 6 , 3 , 3 ,28.6,23.1,37.5," 4,306 "," 2,210 "," 2,096 "," 2,311 "," 1,199 "," 1,112 ",53.7,54.3,53.1
1993," 4,744 "," 2,386 "," 2,358 "," 3,005 "," 1,452 "," 1,553 ",63.3,60.9,65.9, 26 , 13 , 13 , 13 , 7 , 6 ,50.0,53.8,46.2," 4,770 "," 2,399 "," 2,371 "," 3,018 "," 1,459 "," 1,559 ",63.3,60.8,65.8
1994," 4,989 "," 2,469 "," 2,520 "," 3,155 "," 1,536 "," 1,619 ",63.2,62.2,64.2, 20 , 13 , 7 , 16 , 10 , 6 ,80.0,76.9,85.7," 5,009 "," 2,482 "," 2,527 "," 3,171 "," 1,546 "," 1,625 ",63.3,62.3,64.3
1995," 5,279 "," 2,535 "," 2,744 "," 3,503 "," 1,645 "," 1,858 ",66.4,64.9,67.7, 40 , 19 , 21 , 25 , 10 , 15 ,62.5,52.6,71.4," 5,319 "," 2,554 "," 2,765 "," 3,528 "," 1,655 "," 1,873 ",66.3,64.8,67.7
1996," 5,218 "," 2,497 "," 2,721 "," 3,592 "," 1,718 "," 1,874 ",68.8,68.8,68.9, 39 , 18 , 21 , 27 , 11 , 16 ,69.2,61.1,76.2," 5,257 "," 2,515 "," 2,742 "," 3,619 "," 1,729 "," 1,890 ",68.8,68.7,68.9
1997," 5,722 "," 2,674 "," 3,048 "," 4,196 "," 1,920 "," 2,276 ",73.3,71.8,74.7, 71 , 37 , 34 , 36 , 22 , 14 ,50.7,59.5,41.2," 5,793 "," 2,711 "," 3,082 "," 4,232 "," 1,942 "," 2,290 ",73.1,71.6,74.3
1998," 6,049 "," 2,803 "," 3,246 "," 4,408 "," 2,051 "," 2,357 ",72.9,73.2,72.6, 80 , 41 , 39 , 29 , 16 , 13 ,36.3,39.0,33.3," 6,129 "," 2,844 "," 3,285 "," 4,437 "," 2,067 "," 2,370 ",72.4,72.7,72.1
1999," 6,311 "," 2,902 "," 3,409 "," 4,751 "," 2,131 "," 2,620 ",75.3,73.4,76.8, 105 , 52 , 53 , 29 , 14 , 15 ,27.6,26.9,28.3," 6,416 "," 2,954 "," 3,462 "," 4,780 "," 2,145 "," 2,635 ",74.5,72.6,76.1
2000," 6,366 "," 3,078 "," 3,288 "," 4,614 "," 2,075 "," 2,539 ",72.5,67.4,77.2, 136 , 74 , 62 , 89 , 51 , 38 ,65.4,68.9,61.3," 6,502 "," 3,152 "," 3,350 "," 4,703 "," 2,126 "," 2,577 ",72.3,67.4,76.9
2001," 6,648 "," 3,104 "," 3,544 "," 4,882 "," 2,176 "," 2,706 ",73.4,70.1,76.4, 148 , 77 , 71 , 92 , 52 , 40 ,62.2,67.5,56.3," 6,796 "," 3,181 "," 3,615 "," 4,974 "," 2,228 "," 2,746 ",73.2,70.0,76.0
